250	0.1	2495
270	0.13	2479
290	0.12	2584
310	0.12	2584
330	0.13	2792
350	0.14	2918
370	0.15	2996
390	0.14	3134
410	0.15	3418
430	0.14	3667
450	0.13	3628
470	0.14	4097
490	0.15	4386
510	0.136,0.106,0.128	4953
530	0.138,0.114,0.132	5406
550	0.148,0.114,0.120	5820
570	0.164,0.166,0.178	6413
590	0.140,0.148,0.122	7080
610	0.152,0.200,0.168	7748
630	0.186,0.180,0.208	8380
650	0.126,0.120,0.122	9144
670	0.122,0.208,0.172	9826
690	0.236,0.216,0.220	10382
710	0.224,0.188,0.224	11100
730	0.176,0.188,0.208	11737
750	0.132,0.220,0.156	12496
770	0.
